r_over_D,Nu_CFD
0.125,15.066985711538461
0.375,22.263509342948716
0.625,21.33648813782051
0.875,20.296700532051283
1.125,18.96166378205128
1.375,17.749646749999997
1.625,16.353325410256407
1.875,15.154076576923075
2.125,13.873295650641024
2.375,12.849330823717947
2.625,11.806247307692306
2.875,11.001513076923075
3.125,10.196600007051282
3.375,9.58222293525641
3.625,8.962994892628204
3.875,8.482620085897434
4.125,7.9868501416666655
4.375,7.592094531410255
4.625,7.177296414102562
4.875,6.842925687499999
5.125,6.489548097115385
5.375,6.203240880128205
5.625,5.898647283333333
5.875,5.650718616346153
6.125,5.387321547435897
6.375,5.173673262820512
6.625,4.946557094230769
6.875,4.761465230769231
7.125,4.564191523717948
7.375,4.403445915384615
7.625,4.231989573076923
7.875,4.091525206410257
8.125,3.9400977615384614
8.375,3.8146060737179486
8.625,3.677829601282051
8.875,3.5632253615384615
9.125,3.4370413169871794
9.375,3.3302223266025637
9.625,3.213603813782051
9.875,2.108866175961538
